episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC
69,820,11190.957022760991,40,32,1,98,5653.325138090336,7.4695121951219505,0,0,0.8993902439024392,0.8079268292682927,0.1371951219512195,0,0,0,90.68597560975608
70,770,9617.649912238554,40,28,1,98,8327.627383722645,14.426406926406926,0.05411255411255411,0,3.6147186147186146,1.4393939393939394,0.5952380952380952,0,0,0,79.87012987012989
71,722,10304.221435837764,40,27,0,100,7806.274467399196,7.884082676326444,0,0,0.34093330492222446,1.086724909439591,0.6072874493927125,0,0,0,90.08097165991902
72,735,10615.278987512469,40,27,0,100,7799.994827288948,12.810047095761384,0.16745159602302462,0,0.837257980115123,0.9523809523809523,0.34536891679748827,0,0,0,84.88749345892202
73,719,10365.150847389114,40,22,0,100,9961.165722025633,13.846391593262247,0,0,0.5254211095657552,2.0166898470097356,1.9085149126873742,0,0,0,81.7029825374749
74,896,15938.09920184088,40,28,1,98,8810.394526199123,14.778645833333332,0,0,3.3203125,0.7161458333333334,0.5487351190476191,0,0,0,80.63616071428571
75,742,11002.774226716292,40,26,0,100,7973.36339630682,11.590296495956874,0,0,0.4428186368887178,1.4054678475163653,0.5102040816326531,0,0,0,86.05121293800539
76,799,12902.956982155692,40,27,0,100,8135.938232456673,6.777702897853087,0,0,1.34783864445942,1.6655434677962837,0.6354096466737268,0,0,0,89.57350534321749
77,881,15529.261700278681,40,30,0,100,6301.017291495902,5.380249716231555,0,0,1.4074914869466515,2.0090805902383653,1.8388195232690125,0,0,0,89.3643586833144
78,809,13144.073272373407,40,24,0,100,10706.260425881588,12.252781211372064,0.06953028430160693,0,0.7030284301606925,0.888442521631644,0.16223733003708282,0,0,0,85.92398022249691
79,725,10358.474493043615,40,23,0,100,10521.660375530813,14.766734279918865,0,0,0.7383367139959434,0.8924949290060852,0.3813387423935091,0,0,0,83.2210953346856
80,729,10445.932457007295,40,24,0,100,10814.905638627126,16.71810699588477,0,0,3.069272976680384,0.8744855967078189,0.9602194787379973,0,0,0,78.37791495198903
81,723,8300.104644751113,40,23,1,98,9975.102874845163,13.831258644536652,0,0,0.6671548287364738,2.318769831584086,1.7004312098283296,0,0,0,81.48238548531445
82,730,10553.849532045524,40,27,0,100,8412.153674772742,9.736564805057956,0.06322444678609061,0,0.7903055848261326,0.7903055848261328,0.3371970495258167,0,0,0,88.28240252897788
83,807,13212.946723338278,40,26,0,100,8693.001436145549,5.124800849707913,0,0,0.7611966719773412,1.0178792706673747,0.5133651973800673,0,0,0,92.5827580102673
84,727,10559.731602096634,40,25,0,100,9243.896923622784,9.509399358092619,0,0,0.6785878037597435,1.705639614855571,1.6781292984869327,0,0,0,86.42824392480513
85,780,12103.328173914504,40,28,0,100,7369.199705977176,7.799145299145299,0.021367521367521364,0,1.88034188034188,0.9294871794871795,0.9829059829059829,0,0,0,88.38675213675215
86,726,10175.126057481799,40,24,0,100,9214.695356087801,14.81577134986226,0,0,0.7834022038567494,0.9383608815426997,0.8264462809917356,0,0,0,82.63601928374655
87,762,11663.967637702397,40,27,0,100,7275.455955348564,7.510599636583888,0,0,1.1911972541893798,1.0902483343428226,0.2220876236624268,0,0,0,89.98586715122148
88,727,10346.919220635675,40,31,0,100,5298.025343399789,9.001986856182178,0,0,1.5742014366498547,2.154974782209995,0.7488919455907076,0,0,0,86.51994497936727
89,723,10321.55768734582,40,24,0,100,10158.095426665126,15.1365836791148,0,0,0.7174965421853389,1.0114107883817427,0.8558091286307054,0,0,0,82.2786998616874
90,785,11914.472691381134,40,30,0,100,7371.2134969228355,13.222929936305732,0.5350318471337581,0,4.9171974522293,1.8853503184713376,0.4968152866242039,0,0,0,78.94267515923566
91,834,11576.566170786951,40,30,1,98,6737.688216868222,10.52757793764988,0.02398081534772182,0,0.3357314148681055,2.290167865707434,1.223021582733813,0,0,0,85.59952038369305
92,738,8315.337349525576,40,32,1,98,5506.989351992723,30.7079945799458,3.2350948509485096,0,1.592140921409214,2.2188346883468837,1.2025745257452574,0,0,0,61.043360433604335
93,897,15787.671629935752,40,27,1,98,12443.96665218563,15.52182488637338,0.9004373552868535,0,5.505531258039619,1.0805248263442242,0.9604665123059771,0,0,0,76.03121516164995
94,736,10537.541219744782,40,25,0,100,10702.939526551456,20.88768115942029,0.09963768115942029,0,2.6358695652173907,1.25,1.5307971014492754,0,0,0,73.59601449275362
95,795,12288.459395625045,40,32,0,100,6108.483830577606,12.751572327044023,0.9748427672955975,0,4.669811320754717,1.179245283018868,0.2830188679245283,0,0,0,80.14150943396227
96,729,10296.457580985714,40,27,0,100,8015.991541541876,19.520945446871373,0.2849002849002849,0,2.353065316028279,1.2451197636382823,0.7280785058562839,0,0,0,75.8678906827055
97,887,13639.441552410852,40,26,2,96,9744.487553723417,11.491383475599937,0.03221130616846513,0,1.7313577065550008,0.8455467869222097,0.20132066355290704,0,0,0,85.69818006120147
