episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK,simulation,formation,ratio friend:enemy
83,1000,12246.8928795595,28,19,0,94,59255.635486095365,1.2523809523809524,0.0,0,0.0999999999999999,3.0666666666666664,6.59047619047619,0,0,0,88.99047619047619,0,behavior_clone_8198,False,1:0.7
84,1147,16080.467752021616,28,15,0,94,52837.25755480105,1.5832606800348736,0.0,0,0.0871839581517,4.132519616390584,6.566695727986052,0,0,0,87.63034001743681,0,behavior_clone_8198,False,1:0.7
85,1090,15333.976022253044,28,14,0,94,52597.04185414285,2.829922371206775,0.0,0,0.1129146083274523,2.9146083274523646,5.959774170783345,0,0,0,88.18278052223008,0,behavior_clone_8198,False,1:0.7
86,1042,14197.46757679364,28,14,0,92,35306.51165522245,2.111324376199616,0.0,0,0.0959692898272552,3.0414882622176287,5.1011368669718,0,0,0,89.6500812047837,0,behavior_clone_8198,False,1:0.7
87,1408,22142.8150416169,28,20,0,96,35972.04345251032,2.8196022727272725,0.0,0,0.0710227272727273,2.5674715909090904,5.003551136363636,0,0,0,89.5383522727273,0,behavior_clone_8198,False,1:0.7
88,1352,20610.660960392983,28,18,0,96,23594.764595053108,2.178590640129101,0.0,0,0.0974986551909628,1.943249058633674,5.066568047337278,0,0,0,90.71409359870896,0,behavior_clone_8198,False,1:0.7
89,1184,17111.76038913499,28,16,0,94,85923.479064464,2.544341216216216,0.0,0,0.0844594594594594,3.424127252252252,6.0001407657657655,0,0,0,87.94693130630633,0,behavior_clone_8198,False,1:0.7
90,1141,15874.895183803688,28,22,0,98,21106.798333236784,1.621384750219106,0.0,0,0.0876424189307625,4.226312201772324,5.823351835621775,0,0,0,88.24130879345604,0,behavior_clone_8198,False,1:0.7
91,1342,20974.704233109274,28,24,0,98,31118.08062385079,0.2328614008941877,0.0,0,0.07451564828614,2.938710879284649,5.067064083457526,0,0,0,91.68684798807747,0,behavior_clone_8198,False,1:0.7
92,1116,15449.489467407982,28,16,0,96,35642.18625279505,2.5164277180406214,0.0,0,0.0970728793309438,3.222072879330944,6.246266427718041,0,0,0,87.91816009557944,0,behavior_clone_8198,False,1:0.7
93,1096,15011.632121183968,28,16,0,98,68502.70503475539,1.9464720194647205,0.0,0,0.0912408759124087,3.258059610705597,6.257603406326033,0,0,0,88.44662408759123,0,behavior_clone_8198,False,1:0.7
94,1090,14782.615430068628,28,15,0,96,43987.52466541872,2.8550458715596334,0.0,0,0.1027522935779816,2.902752293577982,5.805504587155965,0,0,0,88.33394495412844,0,behavior_clone_8198,False,1:0.7
95,1458,23599.541669196948,28,20,0,94,73514.70253720372,2.414266117969821,0.0,0,0.0685871056241426,2.2702331961591216,4.454732510288067,0,0,0,90.79218106995889,0,behavior_clone_8198,False,1:0.7
96,1440,22991.466719364835,28,12,0,96,41912.55054681098,2.140376984126984,0.0,0,0.0694444444444444,2.239583333333333,3.7227182539682535,0,0,0,91.827876984127,0,behavior_clone_8198,False,1:0.7
97,1222,17679.961463677406,28,16,0,96,57204.09073505382,3.0141843971631204,0.0,0,0.0954719039825422,3.2119476268412432,5.087288597926896,0,0,0,88.59110747408621,0,behavior_clone_8198,False,1:0.7
98,1180,16477.726334944768,28,22,0,94,28096.30478416315,2.3022598870056497,0.0,0,0.0847457627118643,4.331450094161959,5.522598870056497,0,0,0,87.75894538606403,0,behavior_clone_8198,False,1:0.7
99,1119,16036.088817863289,28,16,0,98,92355.4437943139,1.604855525767054,0.0,0,0.0893655049151027,2.97885016383676,4.88903783139708,0,0,0,90.43789097408398,0,behavior_clone_8198,False,1:0.7
100,1196,16778.636744544205,28,18,0,96,26640.637117431263,2.2081179689875343,0.0,0,0.10261477652782,4.051383399209486,5.396777135907571,0,0,0,88.24110671936758,0,behavior_clone_8198,False,1:0.7
101,1173,16478.94601457514,28,21,0,96,52643.74002277866,1.063400188450666,0.0,0,0.0852514919011082,3.818369453044375,6.497061066989726,0,0,0,88.53591779961414,0,behavior_clone_8198,False,1:0.7
102,1354,20787.535186376463,28,22,0,94,59025.82605258214,1.5919908091252255,0.0,0,0.1518135565402921,2.609551944854751,4.3205317577548,0,0,0,91.32611193172494,0,behavior_clone_8198,False,1:0.7
103,1550,25265.57686849897,28,25,0,98,52758.68635387578,1.053763440860215,0.0,0,0.064516129032258,2.610752688172043,5.286021505376344,0,0,0,90.98494623655914,0,behavior_clone_8198,False,1:0.7
104,1103,15121.16087628753,28,15,0,96,46919.009927720166,2.14324569356301,0.0,0,0.0906618313689936,3.5358114233907525,5.1350861287398,0,0,0,89.09519492293744,0,behavior_clone_8198,False,1:0.7
105,1341,20789.904954545746,28,25,0,94,41849.663064375476,0.8202833706189411,0.0,0,0.0745712155108128,4.459358687546607,6.094954014417101,0,0,0,88.55083271190654,0,behavior_clone_8198,False,1:0.7
106,1250,18586.58898206373,28,19,0,96,49113.537094591935,1.8095238095238095,0.0,0,0.1447619047619047,3.302857142857143,4.594285714285715,0,0,0,90.14857142857142,0,behavior_clone_8198,False,1:0.7
107,1219,17422.640735977562,28,22,0,92,43873.68801673257,2.4564761644335067,0.0,0,0.109379272627837,3.486464315012305,4.844590283474616,0,0,0,89.10308996445173,0,behavior_clone_8198,False,1:0.7
108,1169,16801.22208026179,28,15,0,94,69043.72213517418,1.864841745081266,0.0,0,0.1094952951240376,2.7031650983746798,4.862275449101797,0,0,0,90.46022241231822,0,behavior_clone_8198,False,1:0.7
109,1331,20293.96373013511,28,22,0,98,90936.17260772019,4.111361549378078,0.0,0,0.0751314800901577,2.646297687620002,5.092244761666249,0,0,0,88.07496452124552,0,behavior_clone_8198,False,1:0.7
110,1553,25870.13069305479,28,17,0,98,41272.55122660355,2.259301772166074,0.0,0,0.0951874352585458,2.368487359668524,4.364623869649206,0,0,0,90.91239956325764,0,behavior_clone_8198,False,1:0.7
111,1015,13331.215505193248,28,15,0,98,24617.67579810027,2.770443349753695,0.0,0,0.122167487684729,2.920197044334975,6.356650246305418,0,0,0,87.83054187192117,0,behavior_clone_8198,False,1:0.7
112,1051,14163.10672765131,28,19,0,98,44340.188455133764,2.863486022382312,0.0,0,0.1042091432196094,3.529518372525033,4.938607222146709,0,0,0,88.56417923972633,0,behavior_clone_8198,False,1:0.7
113,1390,21738.81526753541,28,17,0,96,103738.7303951763,0.9321238661244916,0.0,0,0.0719424460431654,3.134188301532687,5.48952142633719,0,0,0,90.37222395996248,0,behavior_clone_8198,False,1:0.7
114,1137,16091.859028773531,28,13,0,96,37726.94047356504,2.814423922603342,0.0,0,0.1009804879637773,2.915404410567119,5.156519756343854,0,0,0,89.01267142252188,0,behavior_clone_8198,False,1:0.7
115,1364,21332.329340415163,28,20,0,98,80285.86286702988,1.8658357771261,0.0,0,0.1429618768328445,3.6033724340175945,6.070381231671554,0,0,0,88.31744868035192,0,behavior_clone_8198,False,1:0.7
116,1511,24522.481604867826,28,21,0,98,81330.66918539758,2.2606151381100004,0.0278658260475808,0,0.0661813368630046,2.281514507645686,5.102929394963251,0,0,0,90.26089379637048,0,behavior_clone_8198,False,1:0.7
117,1239,18052.259847544403,28,21,0,98,37529.27907191182,1.0152499893802305,0.0,0,0.1019497897285586,3.049997876046047,6.43133256870991,0,0,0,89.40146977613524,0,behavior_clone_8198,False,1:0.7
118,1326,20390.22515933108,28,16,0,96,66050.72548263645,2.6992207139265965,0.0,0,0.0754147812971342,3.07315233785822,5.426721970839617,0,0,0,88.72549019607843,0,behavior_clone_8198,False,1:0.7
119,1628,27062.96076062784,28,16,0,98,84657.35155315752,1.387182637182637,0.0,0,0.0972563472563472,1.6252047502047502,4.274160524160525,0,0,0,92.61619574119572,0,behavior_clone_8198,False,1:0.7
