episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC
45,5000,133341.79646516277,39,26,5,90,2155.566108698334,2.49,72.59,0,2.77,0.14,0.16,0,0,0,21.85
46,2924,79503.36817223438,40,24,1,98,4210.984845586587,0.9319425444596443,0,0,1.3423392612859097,0.8207934336525308,0.7694938440492476,0,0,0,96.13543091655268
47,2312,59628.20285930466,40,17,0,100,12371.04656160937,4.749921358917898,0,0,0.8375275243787353,0.9594212016357344,1.576753696130859,0,0,0,91.87637621893678
48,2380,59760.626329603685,40,18,2,96,12045.14371621371,6.201680672268908,0,0,1.5714285714285712,0.6428571428571428,0.96218487394958,0,0,0,90.6218487394958
49,3420,59265.751266266234,40,26,16,68,1674.9768472999315,6.505847953216374,77.14912280701755,0,2.39766081871345,0.058479532163742694,0,0,0,0,13.88888888888889
50,2933,77794.985502334,40,22,1,98,8733.925722515622,6.9894306171155804,0.022729855665416524,0,2.8469144220934197,0.5284691442209343,1.0569382884418683,0,0,0,88.55551767246278
51,3236,84155.98984648139,40,26,1,98,4631.598097124924,6.056860321384425,4.218170580964153,0,5.624227441285537,0.8498145859085291,1.8077873918417802,0,0,0,81.44313967861557
52,4201,117267.14368598632,40,24,1,98,4827.997759536587,2.314925017852892,0,0,1.422280409426327,0.3927636277076887,0.20233277791002144,0,0,0,95.66769816710308
53,3388,92547.70884154845,40,24,1,98,4837.384961640186,2.9811097992916173,0,0,2.8556670602125145,0.08116883116883117,0.2582644628099174,0,0,0,93.82378984651713
54,2839,76126.44972167426,40,21,1,98,8549.563275208595,6.667337593720124,0,0,2.832989483218437,0.16102249282946712,0.27172545664972575,0,0,0,90.06692497358226
55,3420,89326.55538399972,40,26,4,92,2321.508169520708,3.47953216374269,40.11695906432749,0,2.3684210526315788,0.2631578947368421,0.3362573099415205,0,0,0,53.43567251461988
56,3420,74337.66387667664,40,26,11,78,1895.8276008605465,4.751461988304094,75.90643274853801,0,3.1432748538011697,0.4970760233918129,1.1111111111111112,0,0,0,14.5906432748538
57,2933,77740.11928746592,40,21,1,98,8513.254853545935,3.2390044323218543,0,0,1.1397399055087432,0.638059519750621,1.3345672397837416,0,0,0,93.64862890263504
58,2899,80207.4176557871,40,22,0,100,8555.422304801765,6.186041163619639,0,0,2.5813498907669308,0.523168908819133,0.8393698976658618,0,0,0,89.87007013912843
59,2866,77545.12833098456,40,21,0,100,8798.491078657946,3.4592762436447013,0,0,2.9558369055926628,0.6081148439836507,0.7576512810288107,0,0,0,92.21912072575017
60,2862,78914.2857981334,40,21,0,100,7810.241442462107,3.4591194968553456,0,0,1.8119197364480384,0.6389138464610163,0.8086253369272236,0,0,0,93.28142158330837
61,2926,74870.1558758938,40,25,2,96,4468.176901509223,11.540214171793117,15.493278651173387,0,4.659375712007291,0.10252904989747094,0.4670767828662566,0,0,0,67.73752563226248
62,3420,85402.07375294987,40,26,4,92,1521.258679891242,1.0380116959064327,60.599415204678365,0,3.523391812865497,0.2777777777777778,0,0,0,0,34.56140350877193
63,3420,88199.01450544239,40,26,4,92,1836.7956915827167,0.32163742690058483,48.260233918128655,0,2.4269005847953213,0.20467836257309943,0.24853801169590645,0,0,0,48.538011695906434
64,2396,63841.69015519857,40,19,0,100,10022.841791967901,6.121313299944352,0,0,1.0434056761268784,1.3309219068818403,2.193470599146726,0,0,0,89.31088851790021
65,2410,60559.93997161822,40,19,2,96,9553.846763874568,6.5467957584140155,0,0,2.1207929921622863,0.34117104656523745,0.636237897648686,0,0,0,90.35500230520977
66,3420,84722.56417848516,40,26,6,88,1918.9759516903277,1.7543859649122808,72.23684210526316,0,2.9678362573099415,0.21929824561403508,0.08771929824561403,0,0,0,22.73391812865497
67,2886,80041.84554762953,40,23,0,100,6125.502741297683,2.501732501732502,0,0,1.774081774081774,0.6098406098406098,0.8731808731808732,0,0,0,94.24116424116423
68,3042,76775.83123589361,40,26,4,92,2279.1322048398815,3.3037475345167655,17.439184746877054,0,2.744904667981591,0.5752794214332676,0.7560815253122946,0,0,0,75.18080210387902
69,3420,83290.59155442785,40,26,6,88,2390.998136283356,4.371345029239766,58.567251461988306,0,4.985380116959064,0.058479532163742694,0,0,0,0,32.01754385964912
70,4138,116990.80020556996,40,24,0,100,7268.5595954916835,2.905993233446109,0,0,2.344127597873369,0.2718704688255196,0.16312228129531176,0,0,0,94.31488641855968
71,2892,75694.13840640803,40,21,2,96,8498.453491409511,7.923335309227425,0,0,1.417704011065007,0.7162616083777908,1.3584271883027068,0,0,0,88.58427188302707
72,2863,72504.6032408456,40,24,2,96,6631.768036892129,5.291652113168006,7.946210268948655,0,2.130632203981837,1.8424729304924903,1.5805099545930843,0,0,0,81.20852252881593
73,2399,62957.03032343125,40,21,0,100,8769.682475599211,0.8932293217412016,0,0,0.5299827308997798,0.38706603942118734,0.9408682189007325,0,0,0,97.2488536890371
74,2926,74546.3154958782,40,25,2,96,4014.6164698434545,8.270676691729323,32.683982683982684,0,6.231487810435179,0.48986101617680566,0.6265664160401002,0,0,0,51.69742538163591
75,4210,118942.79088969168,40,24,0,100,6228.580819618221,4.447743467933492,0,0,2.0665083135391926,0.6175771971496438,1.1045130641330165,0,0,0,91.76365795724465
76,3420,82376.0965119954,40,26,6,88,2097.2525530841936,4.283625730994152,70.55555555555556,0,4.049707602339181,0.13157894736842105,0,0,0,0,20.97953216374269
77,5000,131350.6279950103,39,26,6,88,1120.6754310377523,0,77.34,0,1.54,0.16999999999999998,0.18,0,0,0,20.770000000000003
78,3420,79978.02345996867,40,26,7,86,1992.4348691369478,4.883040935672514,73.87426900584796,0,3.3625730994152043,0.26315789473684215,0.6286549707602338,0,0,0,16.98830409356725
79,3420,88029.0976514049,40,26,4,92,1808.8281578328565,1.2426900584795322,49.7953216374269,0,2.39766081871345,0.029239766081871347,0,0,0,0,46.53508771929825
80,3420,81433.93939425601,40,26,7,86,2266.852648894225,7.602339181286549,72.83625730994152,0,3.4941520467836256,0.23391812865497078,0.8771929824561403,0,0,0,14.956140350877192
81,3420,87215.26096290519,40,26,4,92,2408.9664242322515,7.412280701754385,69.94152046783626,0,4.707602339181287,0.14619883040935672,0,0,0,0,17.792397660818715
82,2905,76790.41605091981,40,24,1,98,4552.932078590019,4.199655765920826,0,0,2.9173838209982788,0.16351118760757316,0.3614457831325302,0,0,0,92.35800344234079
83,2899,73343.61346191746,40,24,3,94,5014.157792202364,7.088651259054847,0.12935494998275265,0,2.561228009658503,0.4225595032769921,0.8020006898930666,0,0,0,88.99620558813382
84,2942,79674.97575910862,40,23,1,98,5968.553502388957,0.7545887151597553,0,0,1.1896668932698846,0.4214819850441876,0.36709721278042146,0,0,0,97.26716519374575
85,4178,116958.62180153013,40,24,0,100,4508.712603170452,0.9514121589277166,0,0,1.3882240306366684,0.17352800382958353,0.059837242699856394,0,0,0,97.42699856390617
86,2893,71742.88856775252,40,22,3,94,7226.225178372008,6.342896647079155,12.374697545800206,0,1.8896186196566425,0.29957368360410186,0.5012098167991704,0,0,0,78.59200368706072
87,2943,73524.08075943656,40,23,3,94,5896.237256500529,2.562011552837241,0,0,2.2018348623853212,0.29901461094121645,0.30581039755351674,0,0,0,94.6313285762827
88,3420,83728.44757682306,40,26,6,88,2009.8895258856169,5.7894736842105265,65.73099415204678,0,3.3771929824561404,0.043859649122807015,1.4766081871345027,0,0,0,23.581871345029242
89,3420,78438.4684182156,40,26,8,84,2162.67227385975,4.093567251461988,70.87719298245614,0,5.453216374269006,0.672514619883041,0.40935672514619886,0,0,0,18.494152046783626
