episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,simulation,formation,ratio friend:enemy
59,837,13807.12872575066,40,31,0,100,6736.668009389405,9.611044736492763,0.0929244656843223,0,3.849727864064781,1.380592061595646,0.1460241603610779,0,0,0,84.9196867118014,behavior_clone_32768,True,1:1
60,733,10231.9270227185,40,31,0,100,8212.175856913047,21.676519630134912,1.970592693648628,0,3.89571017128998,4.941640139457329,1.5764741549189023,0,0,0,65.93906321055026,behavior_clone_32768,True,1:1
61,724,10335.415365452049,40,26,0,100,9003.431993979922,10.694554064719808,0.0197316495659037,0,0.2959747434885556,1.4009471191791634,1.0753749013417522,0,0,0,86.51341752170481,behavior_clone_32768,True,1:1
62,724,10301.301402011995,40,25,0,100,10620.802909296935,16.71270718232044,0.0368324125230202,0,1.1602209944751385,0.9944751381215472,1.0405156537753224,0,0,0,80.05524861878453,behavior_clone_32768,True,1:1
63,715,10128.488106179491,40,20,0,100,13601.629262640461,13.48951048951049,0.0,0,0.9930069930069928,0.7622377622377623,0.5314685314685315,0,0,0,84.22377622377623,behavior_clone_32768,True,1:1
64,817,13040.302993357922,40,30,0,98,8231.905768523837,11.12607099143207,0.0611995104039167,0,4.883720930232558,0.9179926560587516,0.0489596083231334,0,0,0,82.96205630354957,behavior_clone_32768,True,1:1
65,719,10279.429218797057,40,26,0,100,9232.930898176037,8.156169282733956,0.0,0,0.2086230876216968,1.877607788595272,1.3113451221935226,0,0,0,88.44625471885554,behavior_clone_32768,True,1:1
66,899,15655.757072983062,40,35,0,98,4657.9017734951785,6.60734149054505,0.1112347052280311,0,2.869855394883204,0.3781979977753059,0.0,0,0,0,90.03337041156841,behavior_clone_32768,True,1:1
67,893,15707.207740728436,40,34,1,98,4813.553502385033,2.108995893990295,0.0746547219111608,0,1.9783501306457636,0.933184023889511,0.0,0,0,0,94.90481522956328,behavior_clone_32768,True,1:1
68,783,12206.56916194469,40,27,0,100,9685.655685087957,6.120444051478534,0.0392965910207289,0,0.9234698889871304,1.4637980155221535,1.0217113665389528,0,0,0,90.4312800864525,behavior_clone_32768,True,1:1
69,820,11190.957022760991,40,32,1,98,7265.109579299649,7.4695121951219505,0.0,0,0.8993902439024392,0.8079268292682927,0.1371951219512195,0,0,0,90.68597560975608,behavior_clone_32768,True,1:1
70,770,9617.649912238554,40,28,1,98,9875.862000628087,14.426406926406926,0.0541125541125541,0,3.614718614718615,1.4393939393939394,0.5952380952380952,0,0,0,79.87012987012989,behavior_clone_32768,True,1:1
71,722,10304.221435837764,40,27,0,100,8493.435823651089,7.884082676326444,0.0,0,0.3409333049222244,1.086724909439591,0.6072874493927125,0,0,0,90.08097165991902,behavior_clone_32768,True,1:1
72,735,10615.278987512467,40,27,0,98,8140.371229989564,12.810047095761384,0.1674515960230246,0,0.837257980115123,0.9523809523809524,0.3453689167974882,0,0,0,84.88749345892202,behavior_clone_32768,True,1:1
73,719,10365.150847389114,40,22,0,98,10859.675403327803,13.846391593262249,0.0,0,0.5254211095657552,2.016689847009736,1.9085149126873744,0,0,0,81.7029825374749,behavior_clone_32768,True,1:1
74,896,15938.09920184088,40,28,1,98,9410.375244000299,14.778645833333332,0.0,0,3.3203125,0.7161458333333334,0.5487351190476191,0,0,0,80.63616071428571,behavior_clone_32768,True,1:1
75,742,11002.774226716292,40,26,0,98,8941.601108999143,11.590296495956874,0.0,0,0.4428186368887178,1.405467847516365,0.5102040816326531,0,0,0,86.05121293800539,behavior_clone_32768,True,1:1
76,799,12902.956982155692,40,27,0,100,9754.657299798742,6.777702897853087,0.0,0,1.34783864445942,1.6655434677962837,0.6354096466737268,0,0,0,89.57350534321749,behavior_clone_32768,True,1:1
77,881,15529.26170027868,40,30,0,100,7072.366463952507,5.380249716231555,0.0,0,1.4074914869466515,2.0090805902383653,1.8388195232690123,0,0,0,89.3643586833144,behavior_clone_32768,True,1:1
78,809,13144.073272373407,40,24,0,100,11684.848735225802,12.252781211372064,0.0695302843016069,0,0.7030284301606925,0.888442521631644,0.1622373300370828,0,0,0,85.92398022249691,behavior_clone_32768,True,1:1
79,725,10358.474493043615,40,23,0,98,11550.67174293501,14.766734279918865,0.0,0,0.7383367139959434,0.8924949290060852,0.3813387423935091,0,0,0,83.2210953346856,behavior_clone_32768,True,1:1
80,729,10445.932457007297,40,24,0,98,12239.121079729768,16.71810699588477,0.0,0,3.069272976680384,0.8744855967078189,0.9602194787379972,0,0,0,78.37791495198903,behavior_clone_32768,True,1:1
81,723,8300.104644751113,40,23,1,98,9851.658207852863,13.831258644536652,0.0,0,0.6671548287364738,2.318769831584086,1.7004312098283296,0,0,0,81.48238548531445,behavior_clone_32768,True,1:1
82,730,10553.849532045524,40,27,0,100,9108.803527390093,9.736564805057956,0.0632244467860906,0,0.7903055848261326,0.7903055848261328,0.3371970495258167,0,0,0,88.28240252897788,behavior_clone_32768,True,1:1
83,807,13212.946723338278,40,26,0,100,9798.643282285286,5.124800849707913,0.0,0,0.7611966719773412,1.0178792706673747,0.5133651973800673,0,0,0,92.5827580102673,behavior_clone_32768,True,1:1
84,727,10559.731602096634,40,25,0,100,10843.936401836214,9.50939935809262,0.0,0,0.6785878037597435,1.705639614855571,1.6781292984869327,0,0,0,86.42824392480513,behavior_clone_32768,True,1:1
85,780,12103.328173914504,40,28,0,100,8123.248482224073,7.799145299145299,0.0213675213675213,0,1.88034188034188,0.9294871794871796,0.9829059829059827,0,0,0,88.38675213675215,behavior_clone_32768,True,1:1
86,726,10175.1260574818,40,24,0,100,9276.419003066861,14.81577134986226,0.0,0,0.7834022038567494,0.9383608815426996,0.8264462809917356,0,0,0,82.63601928374655,behavior_clone_32768,True,1:1
87,762,11663.967637702395,40,27,0,100,8585.311678331633,7.510599636583888,0.0,0,1.1911972541893798,1.0902483343428226,0.2220876236624268,0,0,0,89.98586715122148,behavior_clone_32768,True,1:1
88,727,10346.919220635677,40,31,0,100,5980.344148986974,9.001986856182178,0.0,0,1.574201436649855,2.154974782209995,0.7488919455907076,0,0,0,86.51994497936727,behavior_clone_32768,True,1:1
89,723,10321.55768734582,40,24,0,100,10563.262097119945,15.1365836791148,0.0,0,0.7174965421853389,1.0114107883817427,0.8558091286307054,0,0,0,82.2786998616874,behavior_clone_32768,True,1:1
90,785,11914.472691381134,40,30,0,98,8059.0408020662235,13.222929936305732,0.5350318471337581,0,4.9171974522293,1.8853503184713376,0.4968152866242039,0,0,0,78.94267515923566,behavior_clone_32768,True,1:1
91,834,11576.566170786951,40,30,1,98,7645.425538040297,10.52757793764988,0.0239808153477218,0,0.3357314148681055,2.290167865707434,1.223021582733813,0,0,0,85.59952038369305,behavior_clone_32768,True,1:1
92,738,8315.337349525576,40,32,1,98,6204.617019723616,30.7079945799458,3.2350948509485096,0,1.592140921409214,2.218834688346884,1.2025745257452574,0,0,0,61.043360433604335,behavior_clone_32768,True,1:1
93,897,15787.671629935752,40,27,1,98,12341.183623636096,15.52182488637338,0.9004373552868535,0,5.505531258039619,1.0805248263442242,0.9604665123059772,0,0,0,76.03121516164995,behavior_clone_32768,True,1:1
94,736,10537.541219744782,40,25,0,98,12151.472624995022,20.88768115942029,0.0996376811594202,0,2.6358695652173907,1.25,1.5307971014492754,0,0,0,73.59601449275362,behavior_clone_32768,True,1:1
95,795,12288.459395625045,40,32,0,98,7745.921351216966,12.751572327044023,0.9748427672955976,0,4.669811320754717,1.179245283018868,0.2830188679245283,0,0,0,80.14150943396227,behavior_clone_32768,True,1:1
96,729,10296.457580985714,40,27,0,98,9341.752537211629,19.520945446871373,0.2849002849002849,0,2.353065316028279,1.2451197636382825,0.7280785058562839,0,0,0,75.8678906827055,behavior_clone_32768,True,1:1
97,887,13639.441552410852,40,26,2,96,10175.644718511008,11.491383475599935,0.0322113061684651,0,1.7313577065550008,0.8455467869222097,0.201320663552907,0,0,0,85.69818006120147,behavior_clone_32768,True,1:1
98,723,10317.105234194383,40,25,0,100,9135.847956412226,13.01060396496081,0.0,0,0.9313047487321344,1.5306592899953897,1.19870908252651,0,0,0,83.32872291378517,behavior_clone_32768,True,1:1
99,775,12183.125144406224,40,25,0,98,10683.258109815664,6.84731182795699,0.0,0,0.4129032258064516,0.8344086021505377,0.1978494623655914,0,0,0,91.70752688172044,behavior_clone_32768,True,1:1
100,728,10485.608680897803,40,29,0,98,7681.656222040087,9.07842157842158,0.0,0,0.6368631368631367,0.974025974025974,0.3746253746253746,0,0,0,88.93606393606395,behavior_clone_32768,True,1:1
101,788,12664.00277949992,40,29,0,100,7687.436112679963,1.7420396862021228,0.0,0,0.1269035532994923,1.6843562528841716,1.2228887863405629,0,0,0,95.22381172127363,behavior_clone_32768,True,1:1
102,728,10452.689555743833,40,26,0,98,9318.38914332191,13.785321821036106,0.0,0,0.7653061224489797,1.3540031397174257,0.7358712715855573,0,0,0,83.35949764521195,behavior_clone_32768,True,1:1
103,720,10114.960568078168,40,30,0,100,7192.3168209729465,9.86111111111111,0.0,0,0.6111111111111112,1.0833333333333337,1.152777777777778,0,0,0,87.29166666666669,behavior_clone_32768,True,1:1
104,731,10612.83289911205,40,25,0,100,10202.106046933097,11.947104423164616,0.0,0,1.6598267213862292,2.498860009119928,1.2038303693570451,0,0,0,82.69037847697219,behavior_clone_32768,True,1:1
105,729,8307.024032814943,40,28,1,98,9600.994665907956,10.962505715592137,0.0,0,1.5317786922725192,2.5034293552812072,1.3031550068587106,0,0,0,83.69913122999542,behavior_clone_32768,True,1:1
106,728,10582.876272999158,40,23,0,98,10411.60571767221,12.467679379444084,0.0,0,0.2908855850032322,1.2039431157078215,1.220103425985779,0,0,0,84.8173884938591,behavior_clone_32768,True,1:1
107,727,10421.01716050378,40,26,0,98,10533.790969994801,10.896050304578504,0.0,0,1.8471212418942815,1.296914914521517,0.265278050697583,0,0,0,85.69463548830812,behavior_clone_32768,True,1:1
108,728,10462.97378234328,40,21,0,98,13772.356302010294,17.011278195488725,0.0144592249855407,0,1.4965297860034703,1.11336032388664,0.7880277617119722,0,0,0,79.57634470792365,behavior_clone_32768,True,1:1
109,728,10334.879682892555,40,28,0,100,9628.779676350678,14.194139194139192,0.3434065934065934,0,2.300824175824176,1.3736263736263736,0.9043040293040292,0,0,0,80.88369963369964,behavior_clone_32768,True,1:1
110,809,13206.51115352891,40,28,0,98,7924.326459504109,6.7367119901112495,0.0,0,1.1124845488257116,1.503914297486609,1.133086114544705,0,0,0,89.51380304903172,behavior_clone_32768,True,1:1
111,812,13121.408482847428,40,28,0,100,10368.531994882927,9.729064039408868,0.0,0,3.643267651888342,0.8723316912972086,0.6362889983579638,0,0,0,85.11904761904762,behavior_clone_32768,True,1:1
112,725,10416.9111826487,40,24,0,100,11244.396058829101,14.14655172413793,0.0258620689655172,0,0.2758620689655172,1.896551724137931,1.9051724137931036,0,0,0,81.74999999999999,behavior_clone_32768,True,1:1
113,723,10365.805331256435,40,21,0,100,13604.075441027306,14.988716604789982,0.0,0,0.8371551284851129,0.7425202009172308,0.9245104462400814,0,0,0,82.50709761956757,behavior_clone_32768,True,1:1
114,862,14998.523096768804,40,27,0,100,9100.949260161095,15.75049080849545,0.1427806532214884,0,1.5527396037836874,1.990005354274496,1.186864179903623,0,0,0,79.37711940032126,behavior_clone_32768,True,1:1
115,770,11732.241393452385,40,28,0,98,7733.946922810994,8.906926406926406,0.238095238095238,0,2.37012987012987,1.4502164502164503,0.7467532467532467,0,0,0,86.28787878787878,behavior_clone_32768,True,1:1
116,801,12756.492946501325,40,28,0,100,8093.828003754852,7.74032459425718,0.0416146483562213,0,0.478568456096546,1.6957969205160217,0.4577611319184353,0,0,0,89.5859342488556,behavior_clone_32768,True,1:1
117,720,10394.884186309882,40,25,0,100,9621.132184960876,9.02777777777778,0.0,0,0.6759259259259263,1.9259259259259256,1.240740740740741,0,0,0,87.12962962962962,behavior_clone_32768,True,1:1
118,718,10257.71964828568,40,26,0,100,8204.916943223137,10.455630720254677,0.0,0,0.1392757660167131,1.8503780342220453,0.915240748109829,0,0,0,86.63947473139673,behavior_clone_32768,True,1:1
119,854,14378.284685752706,40,31,0,98,7582.040645801531,8.860265417642466,0.0520426749934946,0,4.774915430653136,0.8456934686442882,0.2862347124642206,0,0,0,85.18084829560239,behavior_clone_32768,True,1:1
120,727,10405.181089194888,40,24,0,98,10769.906447609874,15.34559834938102,0.1461485557083906,0,0.2922971114167813,1.736588720770289,1.237964236588721,0,0,0,81.24140302613479,behavior_clone_32768,True,1:1
121,777,12207.22694068886,40,26,0,100,10663.926993901428,7.758779187350616,0.0,0,1.397315683029969,1.0755653612796467,1.406508549365692,0,0,0,88.36183121897407,behavior_clone_32768,True,1:1
122,859,14729.800988918623,40,30,0,100,7834.034620753035,4.947613504074505,0.0931315483119906,0,0.1862630966239814,1.3736903376018628,0.1513387660069848,0,0,0,93.24796274738068,behavior_clone_32768,True,1:1
123,728,10299.103555492276,40,27,0,100,9994.457067539031,14.169484361792051,0.1584953508030431,0,1.2890955198647505,1.352493660185968,0.7819103972950128,0,0,0,82.24852071005917,behavior_clone_32768,True,1:1
124,712,9990.93688573527,40,24,0,98,9207.64035661537,12.579002808988765,0.0,0,0.1404494382022472,2.422752808988764,1.8872893258426968,0,0,0,82.97050561797752,behavior_clone_32768,True,1:1
125,994,19094.764990650525,40,33,0,98,6605.788764851688,5.77752227651624,0.0862316757688991,0,2.860017246335154,0.934176487496407,0.5173900546133946,0,0,0,89.82466225926991,behavior_clone_32768,True,1:1
126,726,10597.330401063064,40,24,0,100,11728.414963449482,12.74965564738292,0.0,0,1.0502754820936635,1.721763085399449,1.540977961432507,0,0,0,82.93732782369146,behavior_clone_32768,True,1:1
127,725,10395.433297039332,40,25,0,100,9936.981627280875,13.839080459770113,0.0551724137931034,0,0.7448275862068963,1.7195402298850575,1.3517241379310343,0,0,0,82.28965517241379,behavior_clone_32768,True,1:1
128,743,11038.680896905302,40,28,0,100,7575.927932728294,7.963212202781516,0.0,0,2.0973530731269627,0.9757738896366084,0.2916105877074921,0,0,0,88.67205024674743,behavior_clone_32768,True,1:1
129,729,8065.688486778163,40,29,1,98,7755.1723435758995,17.608180571143535,0.0,0,2.618780396558174,2.36937273974311,1.0350417757825163,0,0,0,76.36862451677266,behavior_clone_32768,True,1:1
130,724,10416.785792569655,40,23,0,98,12230.071136868562,11.260968475788108,0.0,0,0.9506012349691256,1.3080922976925575,0.7637309067273318,0,0,0,85.71660708482288,behavior_clone_32768,True,1:1
